year,quarter,url
2010,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2010/Q2_2010/UMC10Q2_report.pdf
2010,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2010/Q3_2010/UMC10Q3_report.pdf
2010,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2010/Q4_2010/UMC10Q4_report.pdf
2011,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2011/Q2_2011/UMC11Q2_report.pdf
2011,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2011/Q3_2011/UMC11Q3_report.pdf
2011,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2011/Q4_2011/UMC11Q4_report.pdf
2012,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2012/Q2_2012/UMC12Q2_report.pdf
2012,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2012/Q3_2012/UMC12Q3_report.pdf
2012,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2012/Q4_2012/UMC12Q4_report.pdf
2013,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2013/Q2_2013/UMC13Q2_report.pdf
2013,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2013/Q3_2013/UMC13Q3_report.pdf
2013,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2013/Q4_2013/UMC13Q4_report.pdf
2014,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2014/Q2_2014/UMC14Q2_report.pdf
