company,year,quarter,metric,sub-metric,value
UMC,2016,4,rev_tech,40nm<x<=65nm,14
UMC,2016,4,rev_tech,65nm<x<=90nm,3
UMC,2016,4,rev_tech,90nm<x<=0.13um,11
UMC,2016,4,rev_tech,0.13um<x<=0.18um,11
UMC,2016,4,rev_tech,0.18um<x<=0.35um,10
UMC,2016,4,rev_tech,0.5um and above,3
UMC,2017,2,rev_geo,NORAM,42
UMC,2017,2,rev_geo,ASIAPAC,47
UMC,2017,2,rev_geo,Europe,7
UMC,2017,2,rev_geo,Japan,4
UMC,2017,2,rev_tech,14nm<x<=28nm,17
UMC,2017,2,rev_tech,28nm<x<=40nm,28
UMC,2017,2,rev_tech,40nm<x<=65nm,12
UMC,2017,2,rev_tech,65nm<x<=90nm,5
UMC,2017,2,rev_tech,90nm<x<=0.13um,12
UMC,2017,2,rev_tech,0.13um<x<=0.18um,12
UMC,2017,2,rev_tech,0.18um<x<=0.35um,10
UMC,2017,2,rev_tech,0.5um and above,3
UMC,2017,3,rev_geo,NORAM,43
UMC,2017,3,rev_geo,ASIAPAC,47
UMC,2017,3,rev_geo,Europe,8
UMC,2017,3,rev_geo,Japan,2
UMC,2017,3,rev_tech,14nm and below,1
UMC,2017,3,rev_tech,14nm<x<=28nm,15
UMC,2017,3,rev_tech,28nm<x<=40nm,29
UMC,2017,3,rev_tech,40nm<x<=65nm,12
UMC,2017,3,rev_tech,65nm<x<=90nm,6
UMC,2017,3,rev_tech,90nm<x<=0.13um,12
UMC,2017,3,rev_tech,0.13um<x<=0.18um,12
UMC,2017,3,rev_tech,0.18um<x<=0.35um,10
UMC,2017,3,rev_tech,0.5um and above,3
UMC,2017,4,rev_geo,NORAM,43
UMC,2017,4,rev_geo,ASIAPAC,45
UMC,2017,4,rev_geo,Europe,9
UMC,2017,4,rev_geo,Japan,3
UMC,2017,4,rev_tech,14nm and below,2
UMC,2017,4,rev_tech,14nm<x<=28nm,15
UMC,2017,4,rev_tech,28nm<x<=40nm,28
UMC,2017,4,rev_tech,40nm<x<=65nm,12
UMC,2017,4,rev_tech,65nm<x<=90nm,5
UMC,2017,4,rev_tech,90nm<x<=0.13um,12
UMC,2017,4,rev_tech,0.13um<x<=0.18um,13
UMC,2017,4,rev_tech,0.18um<x<=0.35um,10
UMC,2017,4,rev_tech,0.5um and above,3
UMC,2018,2,rev_geo,NORAM,37
UMC,2018,2,rev_geo,ASIAPAC,51
UMC,2018,2,rev_geo,Europe,9
UMC,2018,2,rev_geo,Japan,3
UMC,2018,2,rev_tech,14nm and below,3
UMC,2018,2,rev_tech,14nm<x<=28nm,15
UMC,2018,2,rev_tech,28nm<x<=40nm,26
UMC,2018,2,rev_tech,40nm<x<=65nm,12
UMC,2018,2,rev_tech,65nm<x<=90nm,7
UMC,2018,2,rev_tech,90nm<x<=0.13um,11
UMC,2018,2,rev_tech,0.13um<x<=0.18um,13
UMC,2018,2,rev_tech,0.18um<x<=0.35um,10
UMC,2018,2,rev_tech,0.5um and above,3
UMC,2018,3,rev_geo,NORAM,34
UMC,2018,3,rev_geo,ASIAPAC,52
UMC,2018,3,rev_geo,Europe,11
UMC,2018,3,rev_geo,Japan,3
UMC,2018,3,rev_tech,14nm and below,5
UMC,2018,3,rev_tech,14nm<x<=28nm,13
UMC,2018,3,rev_tech,28nm<x<=40nm,22
UMC,2018,3,rev_tech,40nm<x<=65nm,12
UMC,2018,3,rev_tech,65nm<x<=90nm,10
UMC,2018,3,rev_tech,90nm<x<=0.13um,11
UMC,2018,3,rev_tech,0.13um<x<=0.18um,14
UMC,2018,3,rev_tech,0.18um<x<=0.35um,10
UMC,2018,3,rev_tech,0.5um and above,3
UMC,2018,4,rev_geo,NORAM,38
UMC,2018,4,rev_geo,ASIAPAC,51
UMC,2018,4,rev_geo,Europe,8
UMC,2018,4,rev_geo,Japan,3
UMC,2018,4,rev_tech,14nm and below,1
UMC,2018,4,rev_tech,14nm<x<=28nm,10
UMC,2018,4,rev_tech,28nm<x<=40nm,23
UMC,2018,4,rev_tech,40nm<x<=65nm,13
UMC,2018,4,rev_tech,65nm<x<=90nm,11
UMC,2018,4,rev_tech,90nm<x<=0.13um,13
UMC,2018,4,rev_tech,0.13um<x<=0.18um,15
UMC,2018,4,rev_tech,0.18um<x<=0.35um,11
UMC,2018,4,rev_tech,0.5um and above,3
UMC,2019,2,rev_geo,NORAM,31
UMC,2019,2,rev_geo,ASIAPAC,59
UMC,2019,2,rev_geo,Europe,7
UMC,2019,2,rev_geo,Japan,3
UMC,2019,2,rev_tech,14nm and below,0
UMC,2019,2,rev_tech,14nm<x<=28nm,13
UMC,2019,2,rev_tech,28nm<x<=40nm,24
UMC,2019,2,rev_tech,40nm<x<=65nm,14
UMC,2019,2,rev_tech,65nm<x<=90nm,12
UMC,2019,2,rev_tech,90nm<x<=0.13um,14
UMC,2019,2,rev_tech,0.13um<x<=0.18um,12
UMC,2019,2,rev_tech,0.18um<x<=0.35um,8
UMC,2019,2,rev_tech,0.5um and above,3
UMC,2019,3,rev_geo,NORAM,33
UMC,2019,3,rev_geo,ASIAPAC,59
UMC,2019,3,rev_geo,Europe,6
UMC,2019,3,rev_geo,Japan,2
UMC,2019,3,rev_tech,14nm and below,0
UMC,2019,3,rev_tech,14nm<x<=28nm,12
UMC,2019,3,rev_tech,28nm<x<=40nm,26
UMC,2019,3,rev_tech,40nm<x<=65nm,14
UMC,2019,3,rev_tech,65nm<x<=90nm,12
UMC,2019,3,rev_tech,90nm<x<=0.13um,11
UMC,2019,3,rev_tech,0.13um<x<=0.18um,13
UMC,2019,3,rev_tech,0.18um<x<=0.35um,9
UMC,2019,3,rev_tech,0.5um and above,3
UMC,2019,4,rev_geo,NORAM,30
UMC,2019,4,rev_geo,ASIAPAC,55
UMC,2019,4,rev_geo,Europe,6
UMC,2019,4,rev_geo,Japan,9
UMC,2019,4,rev_tech,14nm and below,0
UMC,2019,4,rev_tech,14nm<x<=28nm,10
UMC,2019,4,rev_tech,28nm<x<=40nm,22
UMC,2019,4,rev_tech,40nm<x<=65nm,16
UMC,2019,4,rev_tech,65nm<x<=90nm,18
UMC,2019,4,rev_tech,90nm<x<=0.13um,11
UMC,2019,4,rev_tech,0.13um<x<=0.18um,12
UMC,2019,4,rev_tech,0.18um<x<=0.35um,8
UMC,2019,4,rev_tech,0.5um and above,3
UMC,2020,2,rev_geo,NORAM,31
UMC,2020,2,rev_geo,ASIAPAC,55
UMC,2020,2,rev_geo,Europe,5
UMC,2020,2,rev_geo,Japan,9
UMC,2020,2,rev_tech,14nm and below,0
UMC,2020,2,rev_tech,14nm<x<=28nm,13
UMC,2020,2,rev_tech,28nm<x<=40nm,23
UMC,2020,2,rev_tech,40nm<x<=65nm,16
UMC,2020,2,rev_tech,65nm<x<=90nm,13
UMC,2020,2,rev_tech,90nm<x<=0.13um,11
UMC,2020,2,rev_tech,0.13um<x<=0.18um,13
UMC,2020,2,rev_tech,0.18um<x<=0.35um,8
UMC,2020,2,rev_tech,0.5um and above,3
UMC,2020,3,rev_geo,NORAM,30
UMC,2020,3,rev_geo,ASIAPAC,57
UMC,2020,3,rev_geo,Europe,6
UMC,2020,3,rev_geo,Japan,7
UMC,2020,3,rev_tech,14nm and below,0
UMC,2020,3,rev_tech,14nm<x<=28nm,14
UMC,2020,3,rev_tech,28nm<x<=40nm,23
UMC,2020,3,rev_tech,40nm<x<=65nm,19
UMC,2020,3,rev_tech,65nm<x<=90nm,10
UMC,2020,3,rev_tech,90nm<x<=0.13um,11
UMC,2020,3,rev_tech,0.13um<x<=0.18um,13
UMC,2020,3,rev_tech,0.18um<x<=0.35um,8
UMC,2020,3,rev_tech,0.5um and above,2
UMC,2020,4,rev_geo,NORAM,29
UMC,2020,4,rev_geo,ASIAPAC,61
UMC,2020,4,rev_geo,Europe,5
UMC,2020,4,rev_geo,Japan,5
UMC,2020,4,rev_tech,14nm and below,0
UMC,2020,4,rev_tech,14nm<x<=28nm,18
UMC,2020,4,rev_tech,28nm<x<=40nm,22
UMC,2020,4,rev_tech,40nm<x<=65nm,18
UMC,2020,4,rev_tech,65nm<x<=90nm,8
UMC,2020,4,rev_tech,90nm<x<=0.13um,11
UMC,2020,4,rev_tech,0.13um<x<=0.18um,13
UMC,2020,4,rev_tech,0.18um<x<=0.35um,8
UMC,2020,4,rev_tech,0.5um and above,2
UMC,2021,2,rev_geo,NORAM,22
UMC,2021,2,rev_geo,ASIAPAC,63
UMC,2021,2,rev_geo,Europe,8
UMC,2021,2,rev_geo,Japan,7
UMC,2021,2,rev_tech,14nm and below,0
